candidate_id,penalty,C,class_weight,rank_roc_auc,rank_test_roc_auc,validation_roc_auc_mean,validation_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,roc_auc_generalization_gap,rank_average_precision,validation_average_precision_mean,validation_average_precision_std,train_average_precision_mean,train_average_precision_std,average_precision_generalization_gap,rank_f1,validation_f1_mean,validation_f1_std,train_f1_mean,train_f1_std,f1_generalization_gap,rank_precision,validation_precision_mean,validation_precision_std,train_precision_mean,train_precision_std,precision_generalization_gap,rank_recall,validation_recall_mean,validation_recall_std,train_recall_mean,train_recall_std,recall_generalization_gap,rank_accuracy,validation_accuracy_mean,validation_accuracy_std,train_accuracy_mean,train_accuracy_std,accuracy_generalization_gap,rank_balanced_accuracy,validation_balanced_accuracy_mean,validation_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,balanced_accuracy_generalization_gap,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_validation_roc_auc,split0_validation_average_precision,split1_validation_roc_auc,split1_validation_average_precision,split2_validation_roc_auc,split2_validation_average_precision,split3_validation_roc_auc,split3_validation_average_precision,split4_validation_roc_auc,split4_validation_average_precision
candidate_001,l1,0.01,,20,20,0.8586541240129396,0.0033371437919299213,0.8609773243484179,0.0007534533746281623,0.0023232003354782815,10,0.5071615683722256,0.008920442387578158,0.5127342178372589,0.0021139164835479378,0.00557264946503333,20,0.35518317225843943,0.006434967610628584,0.3591526255386857,0.0033078118824264495,0.003969453280246282,1,0.7258459293771404,0.020931594762415243,0.7298711314159256,0.0024506350225090645,0.004025202038785203,20,0.23522869710545252,0.0059324657977816485,0.2381826236621855,0.00274719196121196,0.0029539265567329887,10,0.9141874999999999,0.000885649479195925,0.9145890624999999,0.0002568685370233306,0.0004015625000000078,20,0.6126324857157595,0.0027254511200210858,0.6141676380745352,0.0013557804817869862,0.001535152358775771,242.40387535095215,465.6202430963212,1.6863662719726562,0.9443979007811074,0.8577482764237788,0.5006415597609551,0.8570397036429517,0.5050326378906136,0.8651819656408066,0.5236350152309126,0.8575483045445369,0.4983075186432075,0.8557523698126239,0.5081911103354391
candidate_002,l2,0.01,,1,1,0.8592005385126731,0.003236506777060985,0.8615255382354043,0.0007594684266984456,0.002324999722731258,2,0.5075921187936969,0.008491364708204283,0.5131283638035401,0.0021225661464892675,0.005536245009843177,19,0.38588080220855975,0.0036704464874788623,0.3908522387952654,0.0019657192251939792,0.00497143658670568,2,0.6914274834758013,0.018358095137235648,0.698256768833579,0.002303913098911565,0.006829285357777715,19,0.2677575961560781,0.005161247867716037,0.2713801268691033,0.001618259336466442,0.003622530713025207,9,0.9143687500000001,0.0007928883118068822,0.9149984374999999,0.00020577597041441232,0.0006296874999998092,19,0.6271807288642834,0.002052021388675959,0.6291396404228347,0.0008254259282196645,0.001958911558551213,6.603796863555909,0.7404727518079407,0.7608295440673828,0.06980231910797753,0.8585483356389989,0.5023849495665212,0.8575169318519803,0.5051772829490581,0.8654828427864845,0.5232776862433355,0.8581917140948951,0.4986094394946438,0.8562628681910072,0.5085112357149262
candidate_003,l1,0.01,balanced,19,19,0.858946833019607,0.003171340575302324,0.8617273769096625,0.0007352765139341356,0.0027805438900555535,11,0.5067323581578181,0.008727858775394184,0.5107069669297597,0.002233679162167464,0.003974608771941557,3,0.4160447622328838,0.00457041650616765,0.41799290085222707,0.0007720135817148692,0.001948138619343287,12,0.28458114259657563,0.0035396220973370777,0.2857294386511232,0.0005877815023997828,0.0011482960545475818,10,0.7732925187437617,0.0068895850599391744,0.7782373537529995,0.001053008561112747,0.0049448350092378135,11,0.7818499999999999,0.002740993775075006,0.782221875,0.0004201236797063442,0.0003718750000000215,10,0.7780492285247396,0.004079937779992294,0.7804521770433104,0.000680834247628243,0.0024029485185708133,252.4704734802246,453.918868897335,1.1075539588928223,0.2574575128133852,0.8585230935306022,0.5015240252658211,0.8572779746665835,0.5037687847757076,0.8650809332731147,0.5228415900965457,0.8578002400017009,0.4975694594672574,0.8560519236260333,0.5079579311837585
candidate_004,l2,0.01,balanced,10,10,0.8590174222233523,0.003121695991730177,0.861822689896783,0.0007357911707784414,0.0028052676734307003,13,0.5064538296644671,0.008517913160463053,0.5104226896232665,0.0022238095272940437,0.0039688599587994755,1,0.41611906002976695,0.004542845804853058,0.41801963893934946,0.000907405673234954,0.0019005789095825065,11,0.2845993675653989,0.0034916268871089755,0.2857397487750043,0.0006384133338808726,0.0011403812096054122,1,0.7736656917589346,0.006828872940323203,0.7783462015216203,0.0016597831007843474,0.004680509762685636,12,0.7818125,0.0026511347806175566,0.7822156250000001,0.00039616693727204035,0.0004031250000000597,1,0.7781941271357344,0.00407670294862192,0.7804970471219291,0.000920607993923476,0.002302919986194696,12.43403205871582,1.8661482303367933,0.8979883670806885,0.09179010989852396,0.8587136357901977,0.501726971016554,0.8573213649432391,0.5034498185968629,0.8650260176846452,0.5221261172490302,0.8579124261699425,0.49727479610221326,0.8561136665287377,0.5076914453576747
candidate_005,l1,0.1,,9,9,0.8591791854075652,0.0032492794733012427,0.861507995141023,0.0007601618444250207,0.0023288097334578373,1,0.5076262034975068,0.008527661553369231,0.5131730929398854,0.002123288977965089,0.0055468894423786885,18,0.38712626122273075,0.0036640030432672256,0.39201487426661374,0.001981881167182755,0.0048886130438829944,3,0.6906752133582655,0.01836945488378827,0.6977652318615283,0.002525110927014388,0.0070900185032627405,18,0.26906375973940555,0.004942464380161798,0.272577418475601,0.001620606308837543,0.0035136587361954685,8,0.9144,0.0008334791539084832,0.9150390625,0.00021633713923528082,0.0006390625000000094,18,0.6277782249431967,0.0019809429497846293,0.6296939914027357,0.0008295480566008881,0.0019157664595390589,13.325318336486816,0.6251915563761143,0.9749082565307617,0.14616857578889167,0.8585088786360834,0.5023252834179767,0.8574893286987698,0.5051918276033055,0.8654904695014367,0.523398691585331,0.8581643994365997,0.49868269580976843,0.8562428507649359,0.508532519071152
candidate_006,l2,0.1,,2,2,0.8591938982033698,0.0032365498125902056,0.8615265590605444,0.000759599340811199,0.002332660857174651,5,0.5075771441310015,0.008488182207778248,0.5131291587742404,0.002123077741742168,0.005552014643238845,17,0.3899955967439909,0.0026699920111333776,0.3947768230525429,0.002091706282016283,0.004781226308551989,4,0.6893179672260736,0.0181371285864264,0.6943117703361457,0.002563799000543322,0.004993803110072026,17,0.2720490858305672,0.0044454518420632685,0.2757960961100616,0.001675697484320109,0.0037470102794944227,6,0.9144874999999999,0.0008136050178065207,0.915025,0.000233037852343792,0.0005375000000000796,17,0.6291527678965834,0.0016636487176703433,0.6311157285978938,0.00086965339241835,0.0019629607013104122,10.237535619735718,0.5954588950974834,1.0330612182617187,0.11146305855019492,0.8585416253011076,0.5023722210248557,0.8575062234061663,0.5051459075010404,0.8654753186973001,0.5232640883364932,0.8581923676589952,0.49861433019677764,0.8562539559532798,0.5084891735958403
candidate_007,l1,0.1,balanced,11,11,0.8590136728201718,0.003125921545323742,0.8618197607670295,0.000735304203755915,0.0028060879468576605,12,0.5064724625722719,0.008540635810283248,0.5104481239648427,0.0022238576914492257,0.003975661392570884,9,0.41599523958944407,0.004538338643862123,0.41796670271960695,0.0008405455734940203,0.001971463130162887,19,0.28449191486897185,0.0034896210320833425,0.28569660260405694,0.0006011284931400099,0.001204687735085086,3,0.773603483360801,0.006791183484330128,0.7782995548956635,0.0015438727308398038,0.0046960715348625115,20,0.78171875,0.0026512821190888174,0.78218125,0.0003981586033699387,0.00046250000000003233,7,0.7781143851664512,0.0040657773741479926,0.7804572218646012,0.0008463607212081662,0.0023428366981500526,43.16060419082642,0.9888767712706595,1.1602171897888183,0.13729641694956157,0.8586992858244652,0.5016749594571009,0.8573201114823769,0.5034963344808295,0.8650334067399245,0.522193134480803,0.8579037515918876,0.49729693912404027,0.8561118084622054,0.5077009453185852
candidate_008,l2,0.1,balanced,12,12,0.8590121553103887,0.0031211576947773718,0.8618228543130483,0.0007358169600621946,0.0028106990026596224,15,0.5064341962077591,0.008518433222184535,0.5104039354013503,0.002224496308430182,0.003969739193591226,4,0.4160446931211691,0.004547329259968787,0.41798261317530433,0.0008653432000351041,0.0019379200541352337,14,0.2845466549188431,0.003483747660768334,0.285703069115349,0.0006115042488379757,0.0011564141965058616,4,0.7735412943060745,0.006955296101101157,0.7783617512028519,0.0015991770571692533,0.0048204568967773476,14,0.78178125,0.002639099041339677,0.7821781250000001,0.0003888836185158862,0.00039687500000007425,3,0.7781215057109975,0.00411302960209526,0.7804831088576263,0.000879026132083258,0.00236160314662881,21.01425905227661,1.473009160833594,1.1513291358947755,0.11042140741799013,0.8587104535124054,0.5017118847163784,0.8573138549837631,0.5034286665692747,0.8650194442341517,0.5221041978429617,0.8579074515208837,0.4972478891824021,0.8561095723007394,0.5076783427277783
candidate_009,l1,1.0,,8,8,0.8591925973612998,0.003237580033176824,0.8615253316731583,0.0007596230574283856,0.002332734311858431,3,0.507580855998989,0.00849447425838343,0.5131336848647898,0.0021215361919587204,0.005552828865800885,16,0.3900905317416828,0.002456184553022513,0.39489341473529394,0.0020856210823675617,0.004802882993611146,5,0.6890965419989906,0.018438618205205756,0.6942445081140842,0.0025880199102701817,0.005147966115093605,16,0.27217346394001996,0.004212179438181851,0.2759204875155692,0.001664035355685059,0.0037470235755492354,7,0.91448125,0.0008412230679195666,0.9150281249999999,0.00023419784971792805,0.0005468749999998357,16,0.6292045344943893,0.0015483937664335452,0.6311727131476219,0.000865364410792781,0.0019681786532326218,13.390574407577514,0.7668717448091308,1.0306375980377198,0.06778084108529077,0.8585388752511988,0.5023577481686653,0.8575054345902791,0.5051493181602527,0.865476296342772,0.5232774058238667,0.8581902071165157,0.4986167548573379,0.8562521735057341,0.5085030529848218
candidate_010,l2,1.0,,6,6,0.859192737881625,0.0032365616248424853,0.8615265691172642,0.0007596972046511162,0.0023338312356392388,6,0.5075762750942835,0.008488211008905728,0.5131281761795694,0.002122510119164968,0.005551901085285915,14,0.3905803176793761,0.0020448761547156497,0.39526485675660483,0.0023813527966022926,0.004684539077228711,9,0.6889700192248621,0.018843195361229033,0.6939840995737153,0.002943347951643815,0.0050140803488532,14,0.2726710150646457,0.003984155704568209,0.2763247610945549,0.0018982694614618407,0.0036537460299091995,4,0.9145,0.0008655742313632028,0.9150359375000001,0.0002678947146268641,0.0005359375000001387,14,0.6294359396572474,0.0014030773575117834,0.6313566109090687,0.0009880400732904548,0.001920671251821271,10.426223850250244,0.6692196348452732,1.09024076461792,0.0608287156700264,0.8585402259633346,0.5023756653524365,0.8575056236899782,0.5051460787442993,0.8654741033921554,0.5232649906327399,0.8581914872379348,0.4986129669634583,0.8562522491247212,0.5084816737784834
